name,Mean,MCSE,StdDev,2.5%,50%,97.5%,N_Eff,N_Eff/s,R_hat
"etaStd[1,9]",1.109,0.06338,0.6130,0.02396,1.073,2.333,93.54,0.002556,1.024
"etaStd[1,10]",-0.5845,0.05567,0.3690,-1.251,-0.5913,0.1279,43.93,0.001200,1.075
"etaStd[1,11]",0.8477,0.05762,0.5048,-0.1450,0.8035,1.753,76.74,0.002097,1.043
"etaStd[1,12]",-0.09449,0.04514,0.3429,-0.7285,-0.09206,0.5152,57.70,0.001576,1.076
"etaStd[1,13]",-0.6694,0.03440,0.2522,-1.121,-0.6929,-0.1714,53.73,0.001468,1.055
"etaStd[1,14]",1.616,0.05896,0.6244,0.5081,1.545,2.921,112.1,0.003064,1.020
"etaStd[1,15]",-0.6974,0.04190,0.3250,-1.328,-0.6777,-0.1379,60.15,0.001643,1.049
"etaStd[1,16]",-0.04019,0.04367,0.3362,-0.6822,-0.03842,0.5887,59.28,0.001620,1.017
"etaStd[1,17]",0.3305,0.04683,0.3837,-0.3831,0.3223,1.051,67.13,0.001834,1.047
"etaStd[1,18]",-1.084,0.04114,0.2961,-1.645,-1.083,-0.5330,51.78,0.001415,1.097
"etaStd[1,19]",-1.404,0.03842,0.3227,-2.055,-1.410,-0.7973,70.55,0.001928,1.061
"etaStd[1,20]",-0.9208,0.03819,0.3206,-1.528,-0.9219,-0.2967,70.49,0.001926,1.019
"etaStd[2,1]",-0.5788,0.1286,0.9193,-2.260,-0.6167,1.272,51.08,0.001396,1.046
"etaStd[2,2]",-0.009620,0.07110,0.7660,-1.653,-0.04829,1.422,116.1,0.003171,1.039
"etaStd[2,3]",-0.2388,0.06769,0.7774,-1.995,-0.2257,1.121,131.9,0.003604,1.018
"etaStd[2,4]",-0.4284,0.04574,0.7386,-2.012,-0.4150,0.9055,260.7,0.007124,1.012
"etaStd[2,5]",0.1440,0.07658,0.8254,-1.747,0.1573,1.585,116.2,0.003173,1.010
"etaStd[2,6]",0.3256,0.1706,0.9317,-1.557,0.3356,2.012,29.84,0.0008152,1.073
"etaStd[2,7]",-0.6316,0.08652,0.9143,-2.385,-0.6548,1.174,111.7,0.003051,1.021
"etaStd[2,8]",-0.4844,0.07174,0.8035,-2.113,-0.5055,1.017,125.4,0.003427,1.015
"etaStd[2,9]",0.3789,0.06252,0.8618,-1.402,0.4368,1.989,190.0,0.005191,1.029
"etaStd[2,10]",-0.03762,0.08552,0.8244,-1.792,-0.04734,1.524,92.93,0.002539,1.041
"etaStd[2,11]",0.3501,0.06795,0.6939,-1.144,0.3610,1.613,104.3,0.002849,1.035
"etaStd[2,12]",0.5684,0.1100,1.096,-1.632,0.6155,2.391,99.23,0.002711,1.024
"etaStd[2,13]",-0.1443,0.09221,0.7711,-1.842,-0.09782,1.195,69.93,0.001911,1.048
"etaStd[2,14]",-0.1475,0.05717,0.7589,-1.780,-0.1401,1.225,176.2,0.004815,1.036
"etaStd[2,15]",-0.2188,0.08110,0.8694,-1.998,-0.2134,1.486,114.9,0.003140,1.024
"etaStd[2,16]",0.9473,0.09500,0.6977,-0.5936,1.010,2.168,53.94,0.001474,1.050
"etaStd[2,17]",-0.1207,0.06002,0.6953,-1.669,-0.07313,1.092,134.2,0.003667,1.021
"etaStd[2,18]",-0.4604,0.06435,0.8044,-2.158,-0.4170,1.072,156.3,0.004269,1.007
"etaStd[2,19]",-0.7080,0.08017,0.8346,-2.364,-0.7369,0.9168,108.4,0.002961,1.028
"etaStd[2,20]",0.8906,0.09739,0.9917,-1.488,1.012,2.429,103.7,0.002833,1.043
"etaStd[3,1]",-0.7020,0.08470,0.6650,-2.022,-0.6913,0.5297,61.64,0.001684,1.021
"etaStd[3,2]",0.2539,0.05153,0.6664,-1.137,0.2475,1.537,167.2,0.004569,1.009
"etaStd[3,3]",-0.6141,0.06194,0.8146,-2.303,-0.6005,0.9553,172.9,0.004725,1.021
"etaStd[3,4]",0.4641,0.08688,0.7415,-1.232,0.4744,1.791,72.85,0.001991,1.037
"etaStd[3,5]",0.6247,0.06006,0.6835,-0.9471,0.6526,1.940,129.5,0.003539,1.024
"etaStd[3,6]",0.2713,0.07093,0.7917,-1.425,0.2392,1.812,124.6,0.003403,1.027
"etaStd[3,7]",-0.1035,0.06053,0.7159,-1.680,-0.08381,1.307,139.9,0.003822,1.044
"etaStd[3,8]",-0.7778,0.08011,0.6707,-2.033,-0.8388,0.7543,70.10,0.001915,1.037
"etaStd[3,9]",0.3561,0.05866,0.7613,-1.171,0.3399,1.785,168.4,0.004602,1.016
"etaStd[3,10]",-1.184,0.07309,0.7509,-2.788,-1.216,0.2321,105.5,0.002884,1.015
"etaStd[3,11]",-0.02348,0.06429,0.6614,-1.324,-0.03456,1.207,105.8,0.002891,1.036
"etaStd[3,12]",1.317,0.09009,0.8519,-0.4012,1.344,2.898,89.40,0.002443,1.036
"etaStd[3,13]",0.8102,0.06183,0.6157,-0.3560,0.7972,1.979,99.14,0.002709,1.012
"etaStd[3,14]",0.5740,0.08283,0.7681,-1.020,0.5862,1.998,86.00,0.002350,1.036
"etaStd[3,15]",-0.5673,0.07361,0.7247,-1.940,-0.6357,0.9209,96.93,0.002648,1.019
"etaStd[3,16]",-0.5130,0.07849,0.6652,-1.897,-0.5177,0.8145,71.83,0.001963,1.087
"etaStd[3,17]",-0.5038,0.07577,0.7066,-1.909,-0.5086,0.7627,86.96,0.002376,1.017
"etaStd[3,18]",-0.2559,0.05963,0.7095,-1.802,-0.2672,1.212,141.6,0.003868,1.022
"etaStd[3,19]",-0.1045,0.07823,0.7755,-1.637,-0.1237,1.355,98.27,0.002685,1.087
"etaStd[3,20]",0.7750,0.09351,0.8944,-1.705,0.8278,2.345,91.49,0.002500,1.014
"etaStd[4,1]",-0.08123,0.08296,0.9831,-2.038,-0.09099,1.719,140.4,0.003836,1.032
"etaStd[4,2]",0.1116,0.07530,0.9481,-2.014,0.1015,1.821,158.5,0.004331,1.025
"etaStd[4,3]",0.05965,0.07817,0.9339,-1.871,0.07993,1.788,142.7,0.003899,1.028
"etaStd[4,4]",0.04014,0.06747,0.8795,-1.664,0.07357,1.688,169.9,0.004642,1.013
"etaStd[4,5]",-0.01008,0.06455,0.9323,-2.008,0.03662,1.716,208.6,0.005700,1.004
"etaStd[4,6]",-0.07109,0.06908,0.9758,-2.043,-0.03067,1.668,199.5,0.005452,1.011
"etaStd[4,7]",-0.06024,0.06998,0.9729,-2.039,-0.01874,1.681,193.3,0.005281,1.009
"etaStd[4,8]",-0.2339,0.1193,1.103,-2.304,-0.2408,2.082,85.46,0.002335,1.036
"etaStd[4,9]",-0.2886,0.06675,0.9382,-2.248,-0.2791,1.480,197.6,0.005399,1.038
"etaStd[4,10]",-0.1330,0.06827,0.9474,-1.991,-0.1503,1.576,192.6,0.005262,1.025
